Area,Bedrooms,Bathrooms,Stories,Parking,Age,City,Furnishing,Main Road,Guest Room,Basement,Water Supply,Air Conditioning,Preferred Tenant,Locality Rating,Price,Month,Quarter,Month_sin,Month_cos,Year
1260,4,3,2,1,24,Pune,Semi-Furnished,Yes,Yes,Yes,Both,No,Company,4,1274350,1,1,0.4999999999999999,0.8660254037844386,2010
5790,2,1,1,1,7,Kolkata,Unfurnished,Yes,Yes,Yes,Both,Yes,Bachelor,5,1094846,2,1,0.8660254037844385,0.5000000000000001,2011
5626,5,2,3,0,15,Chennai,Semi-Furnished,No,Yes,Yes,Corporation,Yes,Company,6,1495933,3,1,1.0,6.123233995736766e-17,2012
5591,1,1,1,1,47,Delhi,Furnished,Yes,No,Yes,Borewell,No,Company,3,1003442,4,2,0.8660254037844387,-0.4999999999999997,2013
4172,5,1,1,1,44,Delhi,Unfurnished,No,No,No,Borewell,Yes,Bachelor,1,1306676,5,2,0.4999999999999999,-0.8660254037844386,2014
3492,5,1,3,1,14,Mumbai,Furnished,No,Yes,Yes,Borewell,No,Family,4,1760917,6,2,1.2246467991473532e-16,-1.0,2015
866,2,2,3,1,0,Hyderabad,Semi-Furnished,No,Yes,Yes,Borewell,No,Bachelor,6,1127735,7,3,-0.4999999999999997,-0.8660254037844387,2016
5734,1,1,3,2,21,Mumbai,Semi-Furnished,Yes,No,Yes,Borewell,Yes,Company,2,1097568,8,3,-0.8660254037844383,-0.5000000000000003,2017
4826,2,2,2,1,2,Chennai,Furnished,No,No,Yes,Borewell,No,Family,2,911995,9,3,-1.0,-1.8369701987210297e-16,2018
5978,3,3,3,1,37,Chennai,Semi-Furnished,No,No,Yes,Both,No,Bachelor,1,1539430,10,4,-0.8660254037844385,0.5,2019
3844,2,1,3,0,13,Mumbai,Furnished,Yes,Yes,No,Corporation,Yes,Family,9,1051698,11,4,-0.5000000000000003,0.8660254037844383,2020
3571,2,2,3,2,35,Hyderabad,Semi-Furnished,Yes,No,Yes,Corporation,No,Family,3,1140669,12,4,-2.4492935982947064e-16,1.0,2021
3319,2,2,1,0,17,Pune,Semi-Furnished,No,Yes,No,Borewell,Yes,Company,2,919993,1,1,0.4999999999999999,0.8660254037844386,2022
530,1,1,1,0,46,Mumbai,Unfurnished,No,Yes,Yes,Both,Yes,Bachelor,4,522381,2,1,0.8660254037844385,0.5000000000000001,2023
2085,2,3,2,0,40,Chennai,Furnished,Yes,No,Yes,Both,No,Company,6,1100470,3,1,1.0,6.123233995736766e-17,2024
1169,1,2,1,2,17,Hyderabad,Semi-Furnished,No,No,No,Borewell,Yes,Bachelor,1,785362,4,2,0.8660254037844387,-0.4999999999999997,2025
2791,4,1,2,0,2,Chennai,Furnished,No,No,Yes,Corporation,No,Bachelor,9,902155,5,2,0.4999999999999999,-0.8660254037844386,2010
2833,3,3,1,0,9,Hyderabad,Unfurnished,No,Yes,Yes,Borewell,Yes,Bachelor,9,1248678,6,2,1.2246467991473532e-16,-1.0,2011
5711,1,2,3,0,48,Hyderabad,Furnished,Yes,No,No,Both,No,Family,8,836223,7,3,-0.4999999999999997,-0.8660254037844387,2012
5451,4,2,1,1,38,Mumbai,Unfurnished,No,No,Yes,Borewell,No,Family,6,1349892,8,3,-0.8660254037844383,-0.5000000000000003,2013
1584,1,3,2,0,46,Mumbai,Furnished,Yes,Yes,No,Corporation,Yes,Company,4,932771,9,3,-1.0,-1.8369701987210297e-16,2014
4955,1,3,1,2,0,Mumbai,Furnished,Yes,No,No,Corporation,Yes,Bachelor,2,923744,10,4,-0.8660254037844385,0.5,2015
